,_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_created_by,_updated_by,_index,_geometry,_latitude,_longitude,_changeset_id,_created_duration,_updated_duration,_edited_duration,name_of_the_store,entering_the_store,number_of_customers_in_store,number_of_suppliers_in_store,picture_cargo_being_delivered,picture_cargo_being_delivered_captions,picture_cargo_being_delivered_urls,number_of_cases_boxes_delivered,trolley_in_use,leaving_the_store
0,12645bc3-33b6-4cc0-9c8e-9d8e6f35aa01,04e64464-3fbd-4ce1-99d8-5364e1567e8c,04e64464-3fbd-4ce1-99d8-5364e1567e8c,La fete,1,2022-11-12 18:00:54 UTC,2022-11-12 18:02:03 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.2338643 19.0596667),19.0596667,-98.2338643,1f557f2f-5ba3-4de9-aa53-86fc8bc120eb,61,3,64,La fete,23:50,1,1,"https://web.fulcrumapp.com/photos/view?photos=9d0cc14b-175b-4c67-b0fb-9f517e1f1f86,c629d43a-3d41-4515-b8a6-7251b2f087c6",",","https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=9d0cc14b-175b-4c67-b0fb-9f517e1f1f86&type=photo&expires=1668469950&signature=G17yucdxp9zMUKLKh3raLPGHoaO0xr5SUG00nIQ5jEY%3D,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=c629d43a-3d41-4515-b8a6-7251b2f087c6&type=photo&expires=1668469950&signature=HiPhMh%2FBUmZcZNoOCCT89yuk1ZGdAoShdHZCBk5d%2BSs%3D",15,no,12:12
1,be0fc402-769c-41f8-90f1-1b0c9f151e7a,cda7b134-7827-4830-9337-53f46be4f8b4,cda7b134-7827-4830-9337-53f46be4f8b4,Casa Flores ,1,2022-11-12 16:54:27 UTC,2022-11-12 16:55:48 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.2294218 19.0530488),19.0530488,-98.2294218,6cbfadf7-671c-4a48-8ac4-0ad1e94d426a,80,80,80,Casa Flores ,10:35,0,2,"https://web.fulcrumapp.com/photos/view?photos=11b993df-c41f-4cff-93f9-4a3b9453e261,a7ab1451-c44a-41d2-9f7f-fc5be6b4f853",",","https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=11b993df-c41f-4cff-93f9-4a3b9453e261&type=photo&expires=1668469950&signature=tz%2FaYjegv0RF0jYTav%2F3%2FCXhuSFqFMO1gEafuWdLazo%3D,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=a7ab1451-c44a-41d2-9f7f-fc5be6b4f853&type=photo&expires=1668469950&signature=I4oX8DRuCg95QUpQrlzASixgZTI7uMOiVbkrWnLdDjw%3D",35,no,11:00
2,634bbd94-8159-4733-973a-36ab89fb95d4,cbaab095-ad31-4145-804b-ddc218681802,cbaab095-ad31-4145-804b-ddc218681802,Super deux,1,2022-11-12 16:43:26 UTC,2022-11-12 16:45:00 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.232677 19.0517402),19.0517402,-98.232677,e4868227-703c-4c41-b9fe-31fad435c1f9,25,61,86,Super deux,10:35,0,1,https://web.fulcrumapp.com/photos/view?photos=23de48ff-9c14-4965-a13b-edc1fd853de8,Sin Imágen,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=23de48ff-9c14-4965-a13b-edc1fd853de8&type=photo&expires=1668469950&signature=S7JLSbdPZWU90i8mzUNNxXliPiqYmfcd1gCIo9r7bp4%3D,12,no,10:50
3,cf8e05ea-0af9-4a66-9d8b-27c0cf572236,68b5ecad-36b0-4172-b2b3-43aebd0485ec,68b5ecad-36b0-4172-b2b3-43aebd0485ec,Dansk,1,2022-11-12 16:37:55 UTC,2022-11-12 16:38:54 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.2339909 19.0529905),19.0529905,-98.2339909,644c5a56-bd04-4959-afc3-017fbb7112e6,41,7,48,Dansk,10:22,0,1,https://web.fulcrumapp.com/photos/view?photos=81665316-79d4-482f-9ae5-196bf5391de8,Sin Imágen,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=81665316-79d4-482f-9ae5-196bf5391de8&type=photo&expires=1668469950&signature=KqUIzMGYNsGC6L6df3d3fg5T%2BeQk3joiI8dhucHtmeo%3D,3,no,10:43
4,a1ff05ef-fe15-472e-ad6d-537c951afce4,3b19bb47-17f0-4d33-aa27-cf6890bacfe5,3b19bb47-17f0-4d33-aa27-cf6890bacfe5,Ink Factory,1,2022-11-12 16:19:57 UTC,2022-11-12 16:21:14 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.2301302 19.0553894),19.0553894,-98.2301302,de88df96-b59b-4aca-bb27-5817dd9ddda0,76,76,76,Ink Factory,10:13,0,1,https://web.fulcrumapp.com/photos/view?photos=9aa55a18-ba9f-43a2-9a89-e136c5a186b3,Sin Imágen,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=9aa55a18-ba9f-43a2-9a89-e136c5a186b3&type=photo&expires=1668469950&signature=bk2mE9wB2U9HCPJzxqlHVuXgzfgl6CNRDOFEMW%2Fc5Gs%3D,1,yes,10:33
5,9e96f584-f5b2-4e7d-a754-a34fc89d5139,2b8a179a-521c-4ee3-a5ef-241fd1972b01,2b8a179a-521c-4ee3-a5ef-241fd1972b01,Breaking Bread Coffee,1,2022-11-12 15:59:13 UTC,2022-11-12 16:00:07 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.2271606 19.0531043),19.0531043,-98.2271606,3bb014cc-8973-49bb-9942-924bc871ddb9,53,53,53,Breaking Bread Coffee,09:48,7,1,https://web.fulcrumapp.com/photos/view?photos=8a2db0a8-f1fe-4f42-a807-ee41f1c49fee,Sin Imágen,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=8a2db0a8-f1fe-4f42-a807-ee41f1c49fee&type=photo&expires=1668469950&signature=xw%2BNysSczeZm5%2F6FwkeHREEK4MCCx8cTZSfPJywFtrM%3D,3,no,10:06
6,531eb119-cab7-4ba9-8a25-489e91ec2a5a,3aa26fc8-4373-4387-ac50-4f7b0d417107,3aa26fc8-4373-4387-ac50-4f7b0d417107,Abarrotes vinos y licores La ranita ,1,2022-11-10 18:31:16 UTC,2022-11-11 01:23:59 UTC,Sandra Carreón,Sandra Carreón,0,SRID=4326;POINT(-98.20348740564492 19.04590290506943),19.04590291,-98.20348741,0348df3f-5259-4d89-a718-46c32bd656f0,0,8,8,Abarrotes vinos y licores La ranita ,12:29,1,1,Sin Imágenes,Sin Imágen,Sin Imágen,3,no,12:33
7,17995e32-9ed3-4a27-8da3-b4e1d942ad36,5288fd44-2899-4765-9195-3f866d2e6d45,5288fd44-2899-4765-9195-3f866d2e6d45,Abarrotes vinos y licores La ranita ,1,2022-11-11 04:30:19 UTC,2022-11-11 05:27:33 UTC,Sandra Carreón,Sandra Carreón,0,SRID=4326;POINT(-98.20328097193406 19.02348801265978),19.02348801,-98.20328097,eeddf981-d881-474d-b3a4-154d38765c43,0,4,4,Abarrotes vinos y licores La ranita ,12:56,2,1,Sin Imágenes,Sin Imágen,Sin Imágen,3,no,13:01
8,009bf340-321a-4739-84b4-d80029770d10,d1662ccd-4787-4c38-969a-a9e8a01ad1c2,d1662ccd-4787-4c38-969a-a9e8a01ad1c2,Mony,1,2022-11-11 22:44:44 UTC,2022-11-11 22:46:40 UTC,Sandra Carreón,Sandra Carreón,0,SRID=4326;POINT(-98.19369792680496 19.046458906552267),19.04645891,-98.19369793,9f1c577d-d44e-46c7-a12c-b8eb349ecf48,0,116,116,Mony,16:28,2,1,Sin Imágenes,Sin Imágen,Sin Imágen,2,no,16:28
9,c78336c3-d0ab-4e08-bc2e-f15af41f76fb,6f431744-a51b-4b36-b33f-13fb860ef131,6f431744-a51b-4b36-b33f-13fb860ef131,Tomales y molino Anita,1,2022-11-04 21:57:43 UTC,2022-11-04 22:11:37 UTC,José Varela,José Varela,0,SRID=4326;POINT(-98.3105623 19.0658682),19.0658682,-98.3105623,c63f354b-3913-4716-bc54-f14b3b223b4c,624,624,624,Tomales y molino Anita,16:02,3,2,https://web.fulcrumapp.com/photos/view?photos=390d09af-5605-4456-8246-1aa02c7a825a,Sin Imágen,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=390d09af-5605-4456-8246-1aa02c7a825a&type=photo&expires=1668469950&signature=gv4Z8JNr0lgjb1jtJk7An7ir2fBLUOYQkmu3zN4kq58%3D,11,yes,16:19
10,a616737c-bcb2-4ad0-a82a-4ca917fab0fc,56562b58-bfeb-4165-8e3b-7bc0a5a224cf,56562b58-bfeb-4165-8e3b-7bc0a5a224cf,La michoacana,1,2022-11-04 21:49:56 UTC,2022-11-04 21:52:44 UTC,José Varela,José Varela,0,SRID=4326;POINT(-98.3113028 19.0645079),19.0645079,-98.3113028,c63f354b-3913-4716-bc54-f14b3b223b4c,167,167,167,La michoacana,15:40,2,2,https://web.fulcrumapp.com/photos/view?photos=6b59af09-95af-4e2f-a783-510ea5279b5c,Sin Imágen,https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=6b59af09-95af-4e2f-a783-510ea5279b5c&type=photo&expires=1668469950&signature=1Q1qoPexxmHE%2BldG23Xx%2BgiuG%2FjMd0iYdpACvjpxWpc%3D,12,yes,15:55
